0,10,-5.4,-7.5,6.21,-8
1.745343604719141E-05,5.945108840290541E-06,1.6943992027571072E-05
1.5705975993748923E-05,5.255326288732077E-06,1.5429674003629734E-05
1.354422138760396E-05,5.183567156339497E-06,1.3126181026853116E-05
1.2897542639006553E-05,5.714869152320866E-06,1.3022031521541921E-05
1.1298117710079776E-05,7.04835446981977E-06,1.1464025619847165E-05
1.038995031339204E-05,9.254845347771902E-06,9.518381811446482E-06
1.0968508755965486E-05,9.882289034622131E-06,8.399589880400694E-06
1.0432153596168534E-05,1.2917583616786744E-05,8.792652242013778E-06
1.1252848930987722E-05,1.4101161296050127E-05,8.580686547732823E-06
1.235139946518774E-05,1.644527367956112E-05,9.439127544814004E-06
